year,country,region,rank,score,gdp,social_support,health,freedom,generosity,corruption,rank_change,score_change
2016,Russia,Central and Eastern Europe,56,5.856,1.23228,1.05261,0.5899099999999999,0.32682000000000005,0.027360000000000002,0.035859999999999996,-8,0.13999999999999968
2017,Russia,Europe,49,5.962999820709229,1.2817780971527097,1.4692823886871298,0.5473493337631231,0.373783111572266,0.05226382240653041,0.032962881028652205,-7,0.10699982070922953
2018,Russia,Europe,59,5.81,1.151,1.4789999999999999,0.599,0.399,0.065,0.025,10,-0.1529998207092298
2019,Russia,Europe,68,5.648,1.183,1.452,0.726,0.33399999999999996,0.082,0.031,9,-0.16199999999999992
2015,Rwanda,Sub-Saharan Africa,154,3.465,0.22208,0.7737,0.42864,0.5920099999999999,0.22628,0.55191,NA,NA
2016,Rwanda,Sub-Saharan Africa,152,3.5149999999999997,0.32846000000000003,0.61586,0.31865,0.5432,0.23552,0.5052099999999999,-2,0.04999999999999982
2017,Rwanda,Africa,151,3.47099995613098,0.36874589323997503,0.9457070231437681,0.3264248073101041,0.5818438529968261,0.25275602936744707,0.45522001385688804,-1,-0.04400004386901957
2018,Rwanda,Africa,151,3.408,0.33199999999999996,0.896,0.4,0.636,0.2,0.444,0,-0.0629999561309802
2019,Rwanda,Africa,152,3.3339999999999996,0.359,0.711,0.614,0.555,0.21700000000000003,0.41100000000000003,1,-0.07400000000000029
2015,Saudi Arabia,Middle East and Northern Africa,35,6.4110000000000005,1.39541,1.0839299999999998,0.72025,0.31048000000000003,0.13706000000000002,0.32524,NA,NA
2016,Saudi Arabia,Middle East and Northern Africa,34,6.3790000000000004,1.4895299999999998,0.8482900000000001,0.59267,0.37904,0.15457,0.30008,-1,-0.03200000000000003
2017,Saudi Arabia,Asia,37,6.343999862670899,1.5306235551834098,1.2866775989532502,0.5901483297348019,0.449750572443008,0.147616013884544,0.27343225479126,3,-0.03500013732910112
2018,Saudi Arabia,Asia,33,6.371,1.379,1.331,0.633,0.509,0.098,0.127,-4,0.027000137329101115
2019,Saudi Arabia,Asia,28,6.375,1.4029999999999998,1.357,0.7949999999999999,0.43900000000000006,0.08,0.132,-5,0.0039999999999995595
2015,Senegal,Sub-Saharan Africa,142,3.904,0.36498,0.97619,0.43540000000000006,0.36772,0.20843000000000003,0.10713000000000002,NA,NA
2016,Senegal,Sub-Saharan Africa,128,4.219,0.44314,0.77416,0.40457000000000004,0.31056,0.19103,0.11681,-14,0.3150000000000004
2017,Senegal,Africa,115,4.534999847412109,0.479309022426605,1.17969191074371,0.409362852573395,0.377922266721725,0.18346889317035703,0.11546044796705202,-13,0.31599984741210907
2018,Senegal,Africa,109,4.631,0.42900000000000005,1.117,0.43300000000000005,0.406,0.138,0.082,-6,0.09600015258789085
2019,Senegal,Africa,111,4.681,0.45,1.1340000000000001,0.5710000000000001,0.29200000000000004,0.15300000000000002,0.07200000000000001,2,0.04999999999999982
2015,Serbia,Central and Eastern Europe,87,5.122999999999999,0.92053,1.0096399999999999,0.7483599999999999,0.20107,0.19231,0.026170000000000002,NA,NA
2016,Serbia,Central and Eastern Europe,86,5.177,1.03437,0.8132900000000001,0.6458,0.15718000000000001,0.20737,0.043390000000000005,-1,0.05400000000000027
2017,Serbia,Europe,73,5.394999980926509,1.06931757926941,1.2581897974014298,0.65078467130661,0.208715528249741,0.220125883817673,0.040903780609369306,-13,0.21799998092650963
2018,Serbia,Europe,78,5.398,0.975,1.369,0.6849999999999999,0.28800000000000003,0.134,0.043000000000000003,5,0.0030000190734904564
2019,Serbia,Europe,70,5.603,1.004,1.383,0.8540000000000001,0.28200000000000003,0.137,0.039,-8,0.20500000000000007
2015,Sierra Leone,Sub-Saharan Africa,123,4.507,0.3302399999999999,0.9557100000000001,0,0.40840000000000004,0.21488000000000002,0.08786000000000001,NA,NA
2016,Sierra Leone,Sub-Saharan Africa,111,4.635,0.36485,0.628,0,0.30685,0.23897000000000002,0.08196,-12,0.1280000000000001
2017,Sierra Leone,Africa,106,4.709000110626221,0.36842092871666005,0.9841360449790949,0.00556475389748812,0.318697690963745,0.29304090142250105,0.07109517604112633,-5,0.07400011062622092
2018,Sierra Leone,Africa,113,4.571000000000001,0.256,0.8130000000000001,0,0.355,0.23800000000000002,0.053000000000000005,7,-0.13800011062622008
2019,Sierra Leone,Africa,129,4.374,0.268,0.8410000000000001,0.24200000000000002,0.309,0.252,0.045,16,-0.19700000000000095
2015,Singapore,Southeastern Asia,24,6.798,1.5218599999999998,1.02,1.02525,0.54252,0.31105,0.4921,NA,NA
2016,Singapore,Southeastern Asia,22,6.739000000000001,1.64555,0.86758,0.9471900000000001,0.4877,0.32706,0.46987000000000007,-2,-0.058999999999999275
2017,Singapore,Asia,26,6.57200002670288,1.6922776699066204,1.3538143634796098,0.9494923949241639,0.549840569496155,0.34596598148345903,0.4643077850341801,4,-0.1669999732971208
2018,Singapore,Asia,34,6.343,1.529,1.4509999999999998,1.008,0.631,0.261,0.457,8,-0.22900002670288
2019,Singapore,Asia,34,6.262,1.572,1.4629999999999999,1.141,0.556,0.271,0.453,0,-0.0810000000000004
2015,Slovakia,Central and Eastern Europe,45,5.995,1.1689100000000001,1.2699899999999997,0.7890199999999999,0.31751,0.16893000000000002,0.03431000000000001,NA,NA
2016,Slovakia,Central and Eastern Europe,45,6.078,1.2797299999999998,1.08268,0.70367,0.23391000000000003,0.13837,0.02947,0,0.08300000000000018
2017,Slovakia,Europe,40,6.09800004959106,1.3253935575485198,1.5050592422485398,0.7127329111099239,0.2958174645900731,0.13654448091983803,0.024210851639509198,-5,0.02000004959105972
2018,Slovakia,Europe,39,6.173,1.21,1.537,0.776,0.354,0.118,0.014,-1,0.07499995040894003
2019,Slovakia,Europe,38,6.1979999999999995,1.246,1.504,0.881,0.33399999999999996,0.12100000000000001,0.014,-1,0.024999999999999467
2015,Slovenia,Central and Eastern Europe,55,5.848,1.1849800000000001,1.27385,0.8733700000000001,0.6085499999999999,0.25328,0.03787,NA,NA
2016,Slovenia,Central and Eastern Europe,63,5.768,1.29947,1.05613,0.7915099999999998,0.5316400000000001,0.25738000000000005,0.03635,8,-0.08000000000000007
2017,Slovenia,Europe,62,5.75799989700317,1.3412059545517003,1.45251882076263,0.790828227996826,0.5725758075714111,0.24264909327030204,0.045128978788852706,-1,-0.010000102996829519
2018,Slovenia,Europe,51,5.948,1.2189999999999999,1.506,0.8560000000000001,0.633,0.16,0.051000000000000004,-11,0.19000010299683012
2019,Slovenia,Europe,44,6.117999999999999,1.258,1.523,0.9530000000000001,0.5640000000000001,0.14400000000000002,0.057,-7,0.16999999999999904
2016,Somalia,Sub-Saharan Africa,76,5.44,0,0.33612999999999993,0.11466000000000001,0.5677800000000001,0.27225,0.3118,NA,NA
2017,Somalia,Africa,93,5.15100002288818,0.022643184289336194,0.7211513519287109,0.11398913711309398,0.6021269559860228,0.291631311178207,0.28241032361984314,17,-0.28899997711182035
2018,Somalia,Africa,98,4.982,0,0.712,0.115,0.6739999999999999,0.23800000000000002,0.28200000000000003,5,-0.16900002288817983
2019,Somalia,Africa,112,4.667999999999999,0,0.698,0.268,0.559,0.24300000000000002,0.27,14,-0.31400000000000095
2016,Somaliland Region,Sub-Saharan Africa,97,5.0569999999999995,0.25558000000000003,0.7586200000000001,0.33108,0.39130000000000004,0.5147900000000001,0.36794,NA,NA
2015,Somaliland region,Sub-Saharan Africa,91,5.0569999999999995,0.18847,0.95152,0.43873,0.46582000000000007,0.50318,0.39928,NA,NA
2015,South Africa,Sub-Saharan Africa,113,4.6419999999999995,0.92049,1.1846800000000002,0.27688000000000007,0.33207,0.11973,0.08883999999999999,NA,NA
2016,South Africa,Sub-Saharan Africa,116,4.4590000000000005,1.02416,0.9605299999999999,0.18611,0.42483000000000004,0.13656000000000001,0.08415,3,-0.18299999999999894
2017,South Africa,Africa,101,4.828999996185299,1.05469870567322,1.38478863239288,0.187080070376396,0.47924673557281505,0.13936237990856198,0.07250949740409848,-15,0.36999999618529866
2018,South Africa,Africa,105,4.723999999999999,0.9400000000000001,1.41,0.32999999999999996,0.516,0.10300000000000001,0.056,4,-0.10499999618529987
2019,South Africa,Africa,106,4.7219999999999995,0.96,1.351,0.46900000000000003,0.389,0.13,0.055,1,-0.0019999999999997797
2015,South Korea,Eastern Asia,47,5.984,1.24461,0.9577400000000001,0.9653799999999999,0.33208,0.18556999999999998,0.07857000000000001,NA,NA
2016,South Korea,Eastern Asia,57,5.835,1.35948,0.72194,0.88645,0.25168,0.18824000000000002,0.07716000000000002,10,-0.14900000000000002
2017,South Korea,Asia,55,5.837999820709229,1.4016784429550198,1.12827444076538,0.9002140760421751,0.2579216659069061,0.20667436718940702,0.06328266859054568,-2,0.0029998207092294393
2018,South Korea,Asia,57,5.875,1.266,1.204,0.9550000000000001,0.24400000000000002,0.17500000000000002,0.051000000000000004,2,0.037000179290770596
2019,South Korea,Asia,54,5.895,1.301,1.2189999999999999,1.036,0.15900000000000003,0.17500000000000002,0.056,-3,0.019999999999999574
2016,South Sudan,Sub-Saharan Africa,143,3.8319999999999994,0.39394,0.18519,0.15781000000000003,0.19662,0.25899,0.13015,NA,NA
2017,South Sudan,Africa,147,3.5910000801086395,0.39724862575531,0.6013231277465819,0.16348600387573203,0.14706243574619307,0.28567081689834606,0.11679351329803501,4,-0.24099991989135994
2018,South Sudan,Africa,154,3.254,0.33699999999999997,0.608,0.17700000000000002,0.112,0.224,0.10600000000000001,7,-0.33700008010863947
2019,South Sudan,Africa,156,2.8529999999999998,0.306,0.5750000000000001,0.29500000000000004,0.01,0.202,0.091,2,-0.40100000000000025
2015,Spain,Western Europe,36,6.329,1.23011,1.3137899999999998,0.9556200000000001,0.45951000000000003,0.18227,0.06398,NA,NA
2016,Spain,Western Europe,37,6.361,1.34253,1.12945,0.8789600000000001,0.37545,0.17665,0.06137,1,0.03200000000000003
2017,Spain,Europe,34,6.402999877929689,1.3843978643417405,1.5320909023284899,0.8889605998992919,0.408781230449677,0.19013357162475594,0.07091409713029859,-3,0.04199987792968951
2018,Spain,Europe,36,6.31,1.251,1.538,0.965,0.449,0.14200000000000002,0.07400000000000001,2,-0.09299987792968967
2019,Spain,Europe,30,6.353999999999999,1.286,1.484,1.062,0.362,0.15300000000000002,0.079,-6,0.043999999999999595
2015,Sri Lanka,Southern Asia,132,4.271000000000001,0.8352400000000001,1.01905,0.7080599999999999,0.53726,0.40828000000000003,0.09179000000000001,NA,NA
2016,Sri Lanka,Southern Asia,117,4.415,0.9731799999999999,0.8478300000000001,0.62007,0.50817,0.46978000000000003,0.07964,-15,0.14399999999999924
2017,Sri Lanka,Asia,120,4.44000005722046,1.0098501443862902,1.2599763870239296,0.6251308321952821,0.5612132549285891,0.4908635616302491,0.07365396618843081,3,0.025000057220459837
2018,Sri Lanka,Asia,116,4.471000000000001,0.918,1.314,0.6719999999999999,0.585,0.307,0.05,-4,0.0309999427795411
2019,Sri Lanka,Asia,130,4.366,0.9490000000000001,1.265,0.8310000000000001,0.47000000000000003,0.24400000000000002,0.047,14,-0.10500000000000131
2015,Sudan,Sub-Saharan Africa,118,4.55,0.52107,1.01404,0.36878,0.10081,0.19061999999999998,0.1466,NA,NA
2016,Sudan,Sub-Saharan Africa,133,4.139,0.6306900000000001,0.81928,0.29759,0,0.18077,0.10039000000000001,15,-0.4109999999999996
2017,Sudan,Africa,130,4.13899993896484,0.65951669216156,1.2140085697174101,0.29092082381248513,0.014995855279266801,0.182317450642586,0.08984751999378197,-3,-6.103516003719278e-8
2018,Sudan,Africa,137,4.139,0.605,1.24,0.312,0.016,0.134,0.082,7,6.103516003719278e-8
2015,Suriname,Latin America and Caribbean,40,6.269,0.99534,0.972,0.6082,0.5965699999999999,0.16991000000000003,0.13633,NA,NA
2016,Suriname,Latin America and Caribbean,40,6.269,1.09686,0.77866,0.50933,0.52234,0.16665,0.12692,0,0
2015,Swaziland,Sub-Saharan Africa,101,4.866999999999999,0.7120599999999999,1.07284,0.07566000000000002,0.30658,0.18259,0.0306,NA,NA
2019,Swaziland,Africa,135,4.212,0.811,1.149,0,0.313,0.07400000000000001,0.135,34,-0.6549999999999994
2015,Sweden,Western Europe,8,7.363999999999999,1.33171,1.28907,0.9108700000000001,0.6598,0.36262,0.43844000000000005,NA,NA
2016,Sweden,Western Europe,10,7.291,1.4518099999999998,1.08764,0.83121,0.5821799999999999,0.38254,0.40867000000000003,2,-0.07299999999999862
